county,technology,columns,candidate,votes
Leon,Optical,1,Bush,39062
Levy,Optical,2,Bush,6858
Liberty,Optical,2,Bush,1317
Madison,Datavote,1,Bush,3038
Manatee,Optical,1,Bush,57952
Marion,Votomatic,1,Bush,55141
Martin,Lever,1,Bush,33970
MiamiDade,Votomatic,1,Bush,289533
Monroe,Optical,1,Bush,16059
Nassau,Datavote,2,Bush,16404
Okaloosa,Optical,1,Bush,52093
Okeechobee,Optical,2,Bush,5057
Orange,Optical,1,Bush,134517
Osceola,Votomatic,1,Bush,26212
PalmBeach,Votomatic,2,Bush,152951
Pasco,Votomatic,1,Bush,68582
Pinellas,Votomatic,1,Bush,184825
Polk,Optical,1,Bush,90295
Putnam,Optical,1,Bush,13447
SantaRosa,Optical,1,Bush,36274
Sarasota,Votomatic,1,Bush,83100
Seminole,Optical,1,Bush,75677
StJohns,Optical,1,Bush,39546
StLucie,Optical,1,Bush,34705
Sumter,Votomatic,1,Bush,12127
Suwannee,Optical,2,Bush,8006
Taylor,Optical,2,Bush,4056
Union,Hand,2,Bush,2332
Volusia,Optical,1,Bush,82357
Wakulla,Datavote,1,Bush,4512
Walton,Optical,1,Bush,12182
Washington,Optical,1,Bush,4994
Alachua,Optical,1,Gore,47365
Baker,Optical,1,Gore,2392
Bay,Optical,1,Gore,18850
Bradford,Optical,2,Gore,3075
Brevard,Optical,1,Gore,97318
Broward,Votomatic,1,Gore,387703
Calhoun,Optical,1,Gore,2155
Charlotte,Optical,2,Gore,29645
Citrus,Optical,1,Gore,25525
Clay,Optical,1,Gore,14632
Collier,Votomatic,1,Gore,29921
Columbia,Optical,1,Gore,7047
DeSoto,Datavote,2,Gore,3320
Dixie,Datavote,1,Gore,1826
Duval,Votomatic,2,Gore,107864
Escambia,Optical,1,Gore,40943
Flagler,Optical,1,Gore,13897
Franklin,Optical,2,Gore,2046
Gadsden,Optical,2,Gore,9735
Gilchrist,Datavote,1,Gore,1910
Glades,Datavote,1,Gore,1442
Gulf,Optical,2,Gore,2397
Hamilton,Optical,2,Gore,1722
Hardee,Datavote,1,Gore,2339
Hendry,Optical,2,Gore,3240
Hernando,Optical,1,Gore,32644
Highlands,Votomatic,1,Gore,14167
Hillsborough,Votomatic,1,Gore,169557
Holmes,Optical,1,Gore,2177
IndianRiver,Votomatic,1,Gore,19768
Jackson,Optical,2,Gore,6868
Jefferson,Datavote,1,Gore,3041
Lafayette,Optical,2,Gore,789
Lake,Optical,1,Gore,36571
Lee,Votomatic,1,Gore,73560
Leon,Optical,1,Gore,61427
Levy,Optical,2,Gore,5398
Liberty,Optical,2,Gore,1017
Madison,Datavote,1,Gore,3014
Manatee,Optical,1,Gore,49177
Marion,Votomatic,1,Gore,44665
Martin,Lever,1,Gore,26620
MiamiDade,Votomatic,1,Gore,328808
Monroe,Optical,1,Gore,16483
Nassau,Datavote,2,Gore,6952
Okaloosa,Optical,1,Gore,16948
Okeechobee,Optical,2,Gore,4588
Orange,Optical,1,Gore,140220
Osceola,Votomatic,1,Gore,28181
PalmBeach,Votomatic,2,Gore,269732
Pasco,Votomatic,1,Gore,69564
Pinellas,Votomatic,1,Gore,200630
Polk,Optical,1,Gore,75200
Putnam,Optical,1,Gore,12102
SantaRosa,Optical,1,Gore,12802
Sarasota,Votomatic,1,Gore,72853
Seminole,Optical,1,Gore,59174
StJohns,Optical,1,Gore,19502
StLucie,Optical,1,Gore,41559
Sumter,Votomatic,1,Gore,9637
Suwannee,Optical,2,Gore,4075
Taylor,Optical,2,Gore,2649
Union,Hand,2,Gore,1407
Volusia,Optical,1,Gore,97304
Wakulla,Datavote,1,Gore,3838
Walton,Optical,1,Gore,5642
Washington,Optical,1,Gore,2798
Alachua,Optical,1,Browne,658
Baker,Optical,1,Browne,17
Bay,Optical,1,Browne,171
Bradford,Optical,2,Browne,28
Brevard,Optical,1,Browne,643
Broward,Votomatic,1,Browne,1217
Calhoun,Optical,1,Browne,10
Charlotte,Optical,2,Browne,127
Citrus,Optical,1,Browne,194
Clay,Optical,1,Browne,204
Collier,Votomatic,1,Browne,185
Columbia,Optical,1,Browne,127
DeSoto,Datavote,2,Browne,23
Dixie,Datavote,1,Browne,32
Duval,Votomatic,2,Browne,952
Escambia,Optical,1,Browne,296
Flagler,Optical,1,Browne,60
Franklin,Optical,2,Browne,17
Gadsden,Optical,2,Browne,24
Gilchrist,Datavote,1,Browne,52
Glades,Datavote,1,Browne,12
Gulf,Optical,2,Browne,21
Hamilton,Optical,2,Browne,12
Hardee,Datavote,1,Browne,17
Hendry,Optical,2,Browne,11
Hernando,Optical,1,Browne,116
Highlands,Votomatic,1,Browne,64
Hillsborough,Votomatic,1,Browne,1138
Holmes,Optical,1,Browne,18
IndianRiver,Votomatic,1,Browne,122
Jackson,Optical,2,Browne,40
Jefferson,Datavote,1,Browne,14
Lafayette,Optical,2,Browne,6
Lake,Optical,1,Browne,204
Lee,Votomatic,1,Browne,538
Leon,Optical,1,Browne,330
Levy,Optical,2,Browne,92
Liberty,Optical,2,Browne,12
Madison,Datavote,1,Browne,18
Manatee,Optical,1,Browne,242
Marion,Votomatic,1,Browne,662
Martin,Lever,1,Browne,109
MiamiDade,Votomatic,1,Browne,762
Monroe,Optical,1,Browne,162
Nassau,Datavote,2,Browne,63
Okaloosa,Optical,1,Browne,313
Okeechobee,Optical,2,Browne,21
Orange,Optical,1,Browne,891
Osceola,Votomatic,1,Browne,309
PalmBeach,Votomatic,2,Browne,743
Pasco,Votomatic,1,Browne,413
Pinellas,Votomatic,1,Browne,1230
Polk,Optical,1,Browne,366
Putnam,Optical,1,Browne,114
SantaRosa,Optical,1,Browne,131
Sarasota,Votomatic,1,Browne,431
Seminole,Optical,1,Browne,550
StJohns,Optical,1,Browne,210
StLucie,Optical,1,Browne,165
Sumter,Votomatic,1,Browne,53
Suwannee,Optical,2,Browne,52
Taylor,Optical,2,Browne,4
Union,Hand,2,Browne,15
Volusia,Optical,1,Browne,444
Wakulla,Datavote,1,Browne,30
Walton,Optical,1,Browne,68
Washington,Optical,1,Browne,32
Alachua,Optical,1,Nader,3226
Baker,Optical,1,Nader,53
Bay,Optical,1,Nader,828
Bradford,Optical,2,Nader,84
Brevard,Optical,1,Nader,4470
Broward,Votomatic,1,Nader,7104
Calhoun,Optical,1,Nader,39
Charlotte,Optical,2,Nader,1462
Citrus,Optical,1,Nader,1379
Clay,Optical,1,Nader,562
Collier,Votomatic,1,Nader,1400
Columbia,Optical,1,Nader,258
DeSoto,Datavote,2,Nader,157
Dixie,Datavote,1,Nader,75
Duval,Votomatic,2,Nader,2757
Escambia,Optical,1,Nader,1727
Flagler,Optical,1,Nader,435
Franklin,Optical,2,Nader,85
Gadsden,Optical,2,Nader,139
Gilchrist,Datavote,1,Nader,97
Glades,Datavote,1,Nader,56
Gulf,Optical,2,Nader,86
Hamilton,Optical,2,Nader,37
Hardee,Datavote,1,Nader,75
Hendry,Optical,2,Nader,104
Hernando,Optical,1,Nader,1501
Highlands,Votomatic,1,Nader,545
Hillsborough,Votomatic,1,Nader,7490
Holmes,Optical,1,Nader,94
IndianRiver,Votomatic,1,Nader,950
Jackson,Optical,2,Nader,138
Jefferson,Datavote,1,Nader,76
Lafayette,Optical,2,Nader,26
Lake,Optical,1,Nader,1460
Lee,Votomatic,1,Nader,3587
Leon,Optical,1,Nader,1932
Levy,Optical,2,Nader,284
Liberty,Optical,2,Nader,19
Madison,Datavote,1,Nader,54
Manatee,Optical,1,Nader,2491
Marion,Votomatic,1,Nader,1809
Martin,Lever,1,Nader,1118
MiamiDade,Votomatic,1,Nader,5352
Monroe,Optical,1,Nader,1090
Nassau,Datavote,2,Nader,253
Okaloosa,Optical,1,Nader,985
Okeechobee,Optical,2,Nader,131
Orange,Optical,1,Nader,3879
Osceola,Votomatic,1,Nader,732
PalmBeach,Votomatic,2,Nader,5565
Pasco,Votomatic,1,Nader,3393
Pinellas,Votomatic,1,Nader,10022
Polk,Optical,1,Nader,2059
Putnam,Optical,1,Nader,377
SantaRosa,Optical,1,Nader,724
Sarasota,Votomatic,1,Nader,4069
Seminole,Optical,1,Nader,1946
StJohns,Optical,1,Nader,1217
StLucie,Optical,1,Nader,1368
Sumter,Votomatic,1,Nader,306
Suwannee,Optical,2,Nader,180
Taylor,Optical,2,Nader,59
Union,Hand,2,Nader,33
Volusia,Optical,1,Nader,2910
Wakulla,Datavote,1,Nader,149
Walton,Optical,1,Nader,265
Washington,Optical,1,Nader,93
Alachua,Optical,1,Harris,6
Baker,Optical,1,Harris,0
Bay,Optical,1,Harris,5
Bradford,Optical,2,Harris,0
Brevard,Optical,1,Harris,11
Broward,Votomatic,1,Harris,54
Calhoun,Optical,1,Harris,0
Charlotte,Optical,2,Harris,6
Citrus,Optical,1,Harris,5
Clay,Optical,1,Harris,1
Collier,Votomatic,1,Harris,7
Columbia,Optical,1,Harris,1
DeSoto,Datavote,2,Harris,0
Dixie,Datavote,1,Harris,0
Duval,Votomatic,2,Harris,37
Escambia,Optical,1,Harris,6
Flagler,Optical,1,Harris,1
Franklin,Optical,2,Harris,1
Gadsden,Optical,2,Harris,3
Gilchrist,Datavote,1,Harris,0
Glades,Datavote,1,Harris,0
Gulf,Optical,2,Harris,2
Hamilton,Optical,2,Harris,4
Hardee,Datavote,1,Harris,0
Hendry,Optical,2,Harris,3
Hernando,Optical,1,Harris,8
